epoch,train_loss,val_loss,monitor_loss,lr,seconds
1,0.00011990748210634591,0.00010305643188953502,0.00010305643188953502,0.0001,919.1712896823883
2,9.634901160671381e-05,9.69936463951061e-05,9.69936463951061e-05,0.0001,919.3827500343323
3,9.185093271767716e-05,9.355937002888099e-05,9.355937002888099e-05,0.0001,918.6277005672455
4,8.935995163578483e-05,9.302452379516682e-05,9.302452379516682e-05,0.0001,918.2941222190857
5,8.772845027132153e-05,9.059152662404004e-05,9.059152662404004e-05,0.0001,919.646374464035
6,8.645938360959542e-05,8.964732195000733e-05,8.964732195000733e-05,0.0001,918.9879760742188
7,8.553212762066909e-05,8.874711563528135e-05,8.874711563528135e-05,0.0001,919.0742492675781
8,8.462783696231316e-05,8.814585604782569e-05,8.814585604782569e-05,0.0001,917.0087072849274
9,8.40203011997091e-05,8.718080666589316e-05,8.718080666589316e-05,0.0001,916.0904908180237
10,8.344806453259699e-05,8.705118456807123e-05,8.705118456807123e-05,0.0001,918.556586265564
11,8.287474832108081e-05,8.640361621394077e-05,8.640361621394077e-05,0.0001,918.2657268047333
12,8.248276338382081e-05,8.640581452680486e-05,8.640581452680486e-05,0.0001,917.1731162071228
13,8.204206534297247e-05,8.6288478312446e-05,8.6288478312446e-05,0.0001,920.1643269062042
14,8.167193027362423e-05,8.575641417297575e-05,8.575641417297575e-05,0.0001,918.9154829978943
15,8.132909039725497e-05,8.568523034807574e-05,8.568523034807574e-05,0.0001,917.3539111614227
16,8.102984561914162e-05,8.557057378258397e-05,8.557057378258397e-05,0.0001,917.0395112037659
17,8.07580072905307e-05,8.511896375539809e-05,8.511896375539809e-05,0.0001,921.0449800491333
18,8.047084059382033e-05,8.470994551388637e-05,8.470994551388637e-05,0.0001,922.4269969463348
19,8.021474647687397e-05,8.460902303152031e-05,8.460902303152031e-05,0.0001,920.747004032135
20,7.998512788718581e-05,8.442246490476835e-05,8.442246490476835e-05,0.0001,921.3889944553375
21,7.975913221152774e-05,8.474589112969018e-05,8.474589112969018e-05,0.0001,937.4163498878479
22,7.957671461092368e-05,8.424493460867317e-05,8.424493460867317e-05,0.0001,955.0896291732788
23,7.937228069533325e-05,8.402421172414448e-05,8.402421172414448e-05,0.0001,951.5103282928467
24,7.918290321798967e-05,8.449338819036445e-05,8.449338819036445e-05,0.0001,954.7738575935364
25,7.900409046404818e-05,8.420716463347135e-05,8.420716463347135e-05,0.0001,956.9876017570496
26,7.885937894314986e-05,8.469732710615616e-05,8.469732710615616e-05,5e-05,957.0091025829315
27,7.781021741077747e-05,8.289019459408332e-05,8.289019459408332e-05,5e-05,980.4322159290314
28,7.763505238284227e-05,8.303170255873594e-05,8.303170255873594e-05,5e-05,995.9717080593109
29,7.753036762120264e-05,8.294816169465871e-05,8.294816169465871e-05,5e-05,991.098237991333
30,7.74366027524073e-05,8.285764906558361e-05,8.285764906558361e-05,5e-05,1052.1724832057953
