Index,PSNR_dB,SSIM,target_nonzero_fraction,selected_by_grouping
0,100.000000,1.000000,0.000000,0
1,100.000000,1.000000,0.000000,0
2,100.000000,1.000000,0.000000,0
3,100.000000,1.000000,0.000000,0
4,41.535412,0.742434,0.000104,0
5,37.577501,0.629771,0.001198,1
6,37.900902,0.628442,0.003125,1
7,37.091213,0.601185,0.008906,1
8,35.238308,0.503561,0.016372,1
9,34.520465,0.555213,0.023021,1
10,34.773152,0.522091,0.028351,1
11,32.928494,0.465303,0.033576,1
12,31.541678,0.393658,0.038090,1
13,33.132457,0.517152,0.042691,1
14,36.285535,0.558246,0.046597,1
15,36.427589,0.554432,0.050503,1
16,35.918796,0.559407,0.054097,1
17,35.694445,0.543442,0.057326,1
18,35.318232,0.516848,0.060295,1
19,31.693065,0.456639,0.063264,1
20,28.007373,0.341665,0.065955,1
21,32.504115,0.420608,0.068472,1
22,30.706267,0.380852,0.070938,1
23,31.903478,0.382714,0.072934,1
24,32.286922,0.394203,0.075139,1
25,30.671895,0.376736,0.076858,1
26,30.492691,0.346515,0.078594,1
27,31.531814,0.353883,0.083993,1
28,31.254561,0.351163,0.089549,1
29,32.594729,0.374746,0.095000,1
30,30.458318,0.324140,0.100486,1
31,31.887842,0.363297,0.106111,1
32,30.462036,0.330704,0.111701,1
33,28.196415,0.292645,0.116372,1
34,30.181137,0.316211,0.120139,1
35,30.836551,0.336937,0.123802,1
36,30.647680,0.332937,0.127309,1
37,30.633627,0.339000,0.131701,1
38,30.506627,0.340539,0.137847,1
39,30.821058,0.351394,0.143924,1
40,30.712066,0.352826,0.152483,1
41,30.419086,0.344797,0.161372,1
42,30.111322,0.339314,0.168385,1
43,28.297566,0.314207,0.173819,1
44,27.735542,0.314812,0.180330,1
45,26.759765,0.314452,0.186128,1
46,27.105923,0.293409,0.193559,1
47,28.222796,0.327704,0.202969,1
48,29.266947,0.347816,0.215417,1
49,27.913324,0.325888,0.226562,1
50,28.343027,0.333813,0.232795,1
51,26.193602,0.331622,0.237830,1
52,27.754896,0.338952,0.242240,1
53,29.290084,0.358932,0.246528,1
54,28.970640,0.356101,0.251632,1
55,29.378554,0.363790,0.256493,1
56,28.029325,0.340594,0.261059,1
57,27.667910,0.341869,0.266510,1
58,27.076782,0.344169,0.272066,1
59,27.777472,0.353878,0.277708,1
60,29.120607,0.378592,0.282587,1
61,29.442168,0.386125,0.286806,1
62,29.541885,0.385695,0.290295,1
63,29.544470,0.388752,0.293073,1
64,29.219532,0.384648,0.295955,1
65,28.886919,0.386449,0.298455,1
66,28.617518,0.374548,0.300868,1
67,28.886047,0.376562,0.302396,1
68,28.555430,0.373298,0.303403,1
69,28.064234,0.368200,0.304583,1
70,28.453964,0.372142,0.305191,1
71,28.122150,0.368756,0.305434,1
72,27.226538,0.375201,0.305781,1
73,28.487684,0.372270,0.305694,1
74,28.784211,0.381122,0.305694,1
75,28.049066,0.373686,0.305295,1
76,28.239554,0.369016,0.304653,1
77,28.678054,0.373216,0.304236,1
78,27.645707,0.360759,0.303802,1
79,27.653120,0.360910,0.303073,1
80,28.428669,0.369588,0.302240,1
81,27.714939,0.354658,0.300903,1
82,27.995059,0.358650,0.300035,1
83,27.764831,0.355396,0.298854,1
84,28.619044,0.371210,0.297917,1
85,28.796076,0.373687,0.296458,1
86,28.827998,0.377037,0.295469,1
87,29.018366,0.374501,0.294028,1
88,29.224300,0.377257,0.292569,1
89,29.326688,0.381972,0.290920,1
90,28.616565,0.369515,0.288941,1
91,29.406074,0.376258,0.287031,1
92,29.788737,0.383893,0.284670,1
