epoch,train_loss,train_l1_loss,train_ssim_loss,train_weighted_l1,train_weighted_ssim,train_psnr,train_ssim,val_loss,val_l1_loss,val_ssim_loss,val_weighted_l1,val_weighted_ssim,val_psnr,val_ssim,lr
1,0.01285860,0.00568854,0.05348893,0.00483526,0.00802334,40.591962,0.948466,0.01448905,0.00680613,0.05802558,0.00578521,0.00870384,38.913865,0.944521,1.00000000e-04
2,0.00614359,0.00371374,0.01991273,0.00315668,0.00298691,43.784923,0.981512,0.01240907,0.00595708,0.04897034,0.00506352,0.00734555,40.421349,0.953043,1.00000000e-04
3,0.00560477,0.00350277,0.01751612,0.00297735,0.00262742,44.732440,0.983822,0.01416972,0.00661584,0.05697507,0.00562346,0.00854626,39.719220,0.945383,1.00000000e-04
4,0.00548890,0.00344704,0.01705942,0.00292999,0.00255891,44.395385,0.984234,0.01160860,0.00565557,0.04534244,0.00480723,0.00680137,42.279497,0.956622,1.00000000e-04
5,0.00551380,0.00346185,0.01714149,0.00294258,0.00257122,45.583390,0.984175,0.01157826,0.00559095,0.04550637,0.00475231,0.00682596,40.724657,0.956397,1.00000000e-04
6,0.00528244,0.00337972,0.01606456,0.00287276,0.00240968,45.719047,0.985214,0.01140927,0.00553630,0.04468946,0.00470585,0.00670342,42.146830,0.957211,1.00000000e-04
7,0.00514373,0.00332673,0.01544004,0.00282772,0.00231601,45.311970,0.985814,0.01171588,0.00558641,0.04644954,0.00474845,0.00696743,37.985571,0.955555,1.00000000e-04
8,0.00523664,0.00335029,0.01592597,0.00284774,0.00238889,44.887782,0.985338,0.00934172,0.00451136,0.03671379,0.00383465,0.00550707,44.010887,0.964852,1.00000000e-04
9,0.00522166,0.00334485,0.01585690,0.00284312,0.00237853,44.898379,0.985406,0.01375283,0.00614106,0.05688618,0.00521990,0.00853293,38.088078,0.945066,1.00000000e-04
10,0.00598628,0.00360953,0.01945455,0.00306810,0.00291818,45.265953,0.981916,0.01218939,0.00541860,0.05055719,0.00460581,0.00758358,38.115232,0.951316,1.00000000e-04
