epoch,train_loss,train_l1_loss,train_ssim_loss,train_low_freq_loss,train_intensity_loss,train_weighted_l1,train_weighted_ssim,train_weighted_low_freq,train_weighted_intensity,train_psnr,train_ssim,val_loss,val_l1_loss,val_ssim_loss,val_low_freq_loss,val_intensity_loss,val_weighted_l1,val_weighted_ssim,val_weighted_low_freq,val_weighted_intensity,val_psnr,val_ssim,lr
1,0.01851348,0.01941519,0.03050263,0.00112426,0.00265886,0.01747367,0.00091508,0.00004497,0.00007977,42.386081,0.971087,0.01939114,0.02000314,0.03933754,0.00139152,0.00508432,0.01800282,0.00118013,0.00005566,0.00015253,41.224802,0.962288,5.00000000e-05
2,0.01644725,0.01740614,0.02291908,0.00089494,0.00194534,0.01566552,0.00068757,0.00003580,0.00005836,43.632906,0.978471,0.01878454,0.01929256,0.04038455,0.00150712,0.00498042,0.01736330,0.00121154,0.00006028,0.00014941,41.475923,0.961216,5.00000000e-05
3,0.01590119,0.01685798,0.02138714,0.00083913,0.00179429,0.01517218,0.00064161,0.00003357,0.00005383,44.286417,0.979956,0.01894323,0.01936920,0.04287153,0.00172606,0.00519189,0.01743228,0.00128615,0.00006904,0.00015576,40.779089,0.958854,5.00000000e-05
4,0.01576128,0.01670553,0.02131749,0.00084684,0.00176379,0.01503497,0.00063952,0.00003387,0.00005291,44.176719,0.980015,0.01864778,0.01912317,0.04076446,0.00157481,0.00503332,0.01721085,0.00122293,0.00006299,0.00015100,41.314134,0.960863,5.00000000e-05
5,0.01550145,0.01645059,0.02041530,0.00081139,0.00170016,0.01480553,0.00061246,0.00003246,0.00005100,44.562936,0.980894,0.01846981,0.01907820,0.03618525,0.00138725,0.00527957,0.01717038,0.00108556,0.00005549,0.00015839,41.866557,0.965345,5.00000000e-05
6,0.01548690,0.01641586,0.02094568,0.00084699,0.00167924,0.01477427,0.00062837,0.00003388,0.00005038,44.148929,0.980378,0.01860728,0.01914874,0.03837460,0.00150402,0.00540050,0.01723387,0.00115124,0.00006016,0.00016201,41.492403,0.963153,5.00000000e-05
7,0.01530529,0.01625350,0.01988531,0.00079255,0.00162913,0.01462815,0.00059656,0.00003170,0.00004887,44.728743,0.981406,0.01864203,0.01910739,0.04103627,0.00149652,0.00514746,0.01719665,0.00123109,0.00005986,0.00015442,40.973917,0.960556,5.00000000e-05
8,0.01532114,0.01626269,0.02012194,0.00080390,0.00163011,0.01463642,0.00060366,0.00003216,0.00004890,44.401898,0.981159,0.01843328,0.01898338,0.03790582,0.00142270,0.00513854,0.01708505,0.00113717,0.00005691,0.00015416,41.411816,0.963617,5.00000000e-05
9,0.01519295,0.01613218,0.01980444,0.00079482,0.00160196,0.01451896,0.00059413,0.00003179,0.00004806,44.620145,0.981481,0.03581130,0.03635501,0.08413483,0.00235568,0.01578408,0.03271950,0.00252404,0.00009423,0.00047352,35.269436,0.918485,5.00000000e-05
10,0.01514494,0.01608459,0.01964853,0.00079141,0.00159005,0.01447613,0.00058946,0.00003166,0.00004770,44.786723,0.981631,0.01844977,0.01902458,0.03694198,0.00145761,0.00536960,0.01712212,0.00110826,0.00005830,0.00016109,41.649648,0.964564,5.00000000e-05
