epoch,train_loss,train_l1_loss,train_ssim_loss,train_weighted_l1,train_weighted_ssim,train_psnr,train_ssim,val_loss,val_l1_loss,val_ssim_loss,val_weighted_l1,val_weighted_ssim,val_psnr,val_ssim,lr
1,0.01067221,0.00408540,0.04799747,0.00347259,0.00719962,45.404342,0.953287,0.00615419,0.00330200,0.02231661,0.00280670,0.00334749,47.416636,0.978640,1.00000000e-04
2,0.00342929,0.00246512,0.00889292,0.00209535,0.00133394,48.856278,0.991813,0.00604993,0.00344897,0.02078875,0.00293162,0.00311831,45.982345,0.980175,1.00000000e-04
3,0.00326101,0.00237415,0.00828656,0.00201803,0.00124298,49.481774,0.992386,0.00600704,0.00341644,0.02068708,0.00290397,0.00310306,45.694920,0.980282,1.00000000e-04
4,0.00313549,0.00231409,0.00779012,0.00196697,0.00116852,49.909602,0.992861,0.00623906,0.00349725,0.02177597,0.00297266,0.00326640,46.748540,0.979184,1.00000000e-04
5,0.00312968,0.00230893,0.00778063,0.00196259,0.00116709,50.175351,0.992869,0.00664225,0.00371821,0.02321182,0.00316048,0.00348177,45.121978,0.977882,1.00000000e-04
6,0.00314977,0.00231263,0.00789355,0.00196574,0.00118403,50.018409,0.992759,0.00650317,0.00360166,0.02294507,0.00306141,0.00344176,46.733797,0.978054,1.00000000e-04
7,0.00303704,0.00226229,0.00742730,0.00192294,0.00111409,50.448144,0.993205,0.00625704,0.00351336,0.02180454,0.00298636,0.00327068,46.473871,0.979194,5.00000000e-05
8,0.00298275,0.00223302,0.00723122,0.00189807,0.00108468,51.414425,0.993392,0.00600632,0.00343257,0.02059094,0.00291768,0.00308864,48.588740,0.980441,5.00000000e-05
9,0.00297455,0.00222786,0.00720580,0.00189368,0.00108087,51.676015,0.993416,0.01237108,0.00505876,0.05380755,0.00429995,0.00807113,42.056266,0.948101,5.00000000e-05
10,0.00295841,0.00221926,0.00714693,0.00188637,0.00107204,51.363200,0.993472,0.00664414,0.00366499,0.02352600,0.00311525,0.00352890,46.921036,0.977548,5.00000000e-05
11,0.00294349,0.00221154,0.00709124,0.00187981,0.00106369,51.481088,0.993525,0.00618539,0.00349453,0.02143357,0.00297035,0.00321504,47.710231,0.979611,5.00000000e-05
12,0.00293805,0.00220800,0.00707504,0.00187680,0.00106126,51.643178,0.993541,0.00623558,0.00351578,0.02164780,0.00298841,0.00324717,47.665839,0.979390,2.50000000e-05
13,0.00290076,0.00218945,0.00693154,0.00186103,0.00103973,51.872871,0.993678,0.00615359,0.00348255,0.02128946,0.00296017,0.00319342,47.033568,0.979746,2.50000000e-05
14,0.00289597,0.00218712,0.00691276,0.00185905,0.00103691,51.988334,0.993696,0.00600420,0.00341929,0.02065202,0.00290640,0.00309780,46.571832,0.980432,2.50000000e-05
15,0.00289007,0.00218461,0.00688768,0.00185692,0.00103315,51.901892,0.993720,0.00616156,0.00347584,0.02138060,0.00295447,0.00320709,49.320420,0.979728,2.50000000e-05
16,0.00291675,0.00219860,0.00698627,0.00186881,0.00104794,52.219841,0.993626,0.00660880,0.00363007,0.02348829,0.00308556,0.00352324,43.998397,0.977674,2.50000000e-05
17,0.00287806,0.00217913,0.00683868,0.00185226,0.00102580,52.166136,0.993768,0.00662153,0.00368330,0.02327150,0.00313081,0.00349072,48.426364,0.977849,2.50000000e-05
18,0.00288857,0.00218452,0.00687822,0.00185684,0.00103173,51.741443,0.993729,0.00642627,0.00358111,0.02254881,0.00304395,0.00338232,47.867960,0.978528,1.25000000e-05
19,0.00285358,0.00216747,0.00674154,0.00184235,0.00101123,51.935445,0.993861,0.00671988,0.00372602,0.02368509,0.00316712,0.00355276,47.281387,0.977444,1.25000000e-05
20,0.00283562,0.00215991,0.00666462,0.00183592,0.00099969,51.778597,0.993935,0.00628948,0.00356466,0.02173011,0.00302996,0.00325952,47.288661,0.979363,1.25000000e-05
21,0.00283259,0.00215854,0.00665222,0.00183476,0.00099783,51.631753,0.993947,0.00624869,0.00354601,0.02156389,0.00301411,0.00323458,47.389002,0.979505,1.25000000e-05
22,0.00281983,0.00215314,0.00659773,0.00183017,0.00098966,51.503840,0.994000,0.00629445,0.00357374,0.02171178,0.00303768,0.00325677,46.904983,0.979382,6.25000000e-06
23,0.00280444,0.00214590,0.00653614,0.00182401,0.00098042,51.416942,0.994059,0.00666333,0.00370995,0.02339913,0.00315346,0.00350987,43.057099,0.977732,6.25000000e-06
24,0.00280160,0.00214436,0.00652591,0.00182271,0.00097889,51.402794,0.994069,0.01146042,0.00493220,0.04845365,0.00419237,0.00726805,43.089440,0.953218,6.25000000e-06
25,0.00280000,0.00214359,0.00651969,0.00182205,0.00097795,51.281006,0.994075,0.00643657,0.00362626,0.02236166,0.00308232,0.00335425,46.982700,0.978771,6.25000000e-06
26,0.00279858,0.00214281,0.00651457,0.00182139,0.00097719,51.374149,0.994080,0.00667923,0.00373149,0.02338310,0.00317177,0.00350747,46.229959,0.977784,3.12500000e-06
27,0.00279089,0.00213894,0.00648528,0.00181810,0.00097279,51.454813,0.994108,0.00648237,0.00365208,0.02252065,0.00310427,0.00337810,45.035768,0.978612,3.12500000e-06
28,0.00279015,0.00213850,0.00648284,0.00181772,0.00097243,51.448214,0.994110,0.00643037,0.00362757,0.02231286,0.00308344,0.00334693,46.912014,0.978841,3.12500000e-06
