case_id,slice_index,psnr_db,ssim,mae,rmse
BraTS-GLI-00000-000,77,29.101932,0.387480,59.016472,80.514723
BraTS-GLI-00025-000,77,28.883509,0.409166,59.114113,80.695149
BraTS-GLI-00058-000,77,29.437688,0.383420,48.301380,68.082699
BraTS-GLI-00089-000,77,30.063204,0.404985,55.494225,78.012860
BraTS-GLI-00113-000,77,29.725212,0.420676,17.091841,23.924528
BraTS-GLI-00147-000,77,30.767248,0.460146,16.151371,22.696226
BraTS-GLI-00187-000,77,28.370570,0.385112,36.705956,50.584216
BraTS-GLI-00228-000,77,30.267550,0.421484,72.247932,91.377394
BraTS-GLI-00267-000,77,28.680481,0.400851,42.533295,57.204077
BraTS-GLI-00303-000,77,27.905127,0.390345,48.175247,61.659843
BraTS-GLI-00340-000,77,29.663615,0.415229,44.706741,58.511236
BraTS-GLI-00380-000,77,28.887771,0.373508,52.442612,67.752108
BraTS-GLI-00417-000,77,30.352960,0.418444,28.008518,37.256029
BraTS-GLI-00456-000,77,30.451858,0.427935,26.568203,37.074395
BraTS-GLI-00491-001,77,32.130946,0.481112,48.578568,65.943368
BraTS-GLI-00514-001,77,29.775360,0.416016,55.877018,78.210072
BraTS-GLI-00545-000,77,30.097802,0.412507,50.454487,68.071973
BraTS-GLI-00568-000,77,32.731123,0.527205,77.007416,104.648682
BraTS-GLI-00599-000,77,33.544126,0.505850,84.708000,115.085116
BraTS-GLI-00622-000,77,29.850440,0.404397,58.096676,81.813383
BraTS-GLI-00654-001,77,30.938914,0.455672,19.510019,28.811189
BraTS-GLI-00685-001,77,29.510533,0.415724,33.776451,46.044571
BraTS-GLI-00715-000,77,29.968563,0.413199,42.246269,57.476500
BraTS-GLI-00739-000,77,32.048487,0.488725,36.590771,49.033844
